ctx_src,ctx_tgt,res_src,res_tgt,correctness,templated,engagement,understanding,sensibleness,politeness,iq
<speaker2>#PRS_ORG# über wlan einrichten #EMAIL# #NUMBER#,<speaker2>Set up #PRS_ORG# via wlan #EMAIL# #NUMBER#,<speaker2>Vielen Dank für die Informationen. Ich helfe Ihnen sehr gerne weiter.,<speaker2>Thank you for the information. I will be more than happy to assist you.,2,1,1,1,1,1,5
<speaker1>Vielen Dank für die Informationen. Ich helfe Ihnen sehr gerne weiter.,<speaker1>Thank you for the information. I will be more than happy to assist you.,<speaker2>einrichten über wlan,<speaker2>Set up via wlan,2,0,1,1,1,0,5
<speaker2>einrichten über wlan,<speaker2>Set up via wlan,"<speaker2>Ich überprüfe, und diese E-Mail ist nicht in unserem System registriert. Hier sind die Schritte, um es über WIfI einzurichten. Schalten Sie Ihren #PRS_ORG# ein. Tippen Sie auf Ihre Sprache. Tippen Sie auf „Über Wi-Fi einrichten“. Ihr #PRS_ORG# wird nach lokalen Wi-Fi-Netzwerken suchen und Ihnen eine Liste von dem zeigen, was verfügbar ist. Tippen Sie auf das Netzwerk, das Sie verbinden möchten. Wenn nötig, benutzen Sie die Tastatur auf dem Bildschirm, um das Netzwerk Passwort einzugeben. Tippen Sie auf Ihrer Tastatur auf Verbinden. Tippen Sie bei Bedarf auf Datum, Uhrzeit oder Zeitzone. Tippen Sie auf „Weiter“. Ihr #PRS_ORG# wird alle verfügbaren Updates herunterl#PRS_ORG#n. Die Updates können bis zu 20 Minuten dauern. Tippen Sie auf die Anmeldeoption, die Sie verwenden möchten, und verwenden Sie die Tastatur auf dem Bildschirm, um Ihre Daten einzugeben. Wenn Sie bereits #PRS_ORG# Bücher haben, werden Sie sehen, dass sie zu Ihrem #PRS_ORG# hinzugefügt werden.","<speaker2>I am checking and that email is not registered in our system. Here are the steps to set it up via WiFI, Turn on your #PRS_ORG#. Tap your language. Tap Set up over Wi Fi. Your #PRS_ORG# will search for local Wi Fi networks, and show you a list of what’s available. Tap the network you want to connect to. If necessary, use the on-screen keyboard to enter the network password. Tap Join on your keyboard. If necessary, tap Date, Time, or Time Zone. Tap Continue. Your #PRS_ORG# will download any available updates. The updates may take up to 20 minutes to complete. Tap the sign-in option you wish to use, and use the on-screen keyboard to enter your details. If you already have #PRS_ORG# books, you’ll see them being added to your #PRS_ORG#.",2,0,1,1,1,1,5
"<speaker1>Ich überprüfe, und diese E-Mail ist nicht in unserem System registriert. Hier sind die Schritte, um es über WIfI einzurichten. Schalten Sie Ihren #PRS_ORG# ein. Tippen Sie auf Ihre Sprache. Tippen Sie auf „Über Wi-Fi einrichten“. Ihr #PRS_ORG# wird nach lokalen Wi-Fi-Netzwerken suchen und Ihnen eine Liste von dem zeigen, was verfügbar ist. Tippen Sie auf das Netzwerk, das Sie verbinden möchten. Wenn nötig, benutzen Sie die Tastatur auf dem Bildschirm, um das Netzwerk Passwort einzugeben. Tippen Sie auf Ihrer Tastatur auf Verbinden. Tippen Sie bei Bedarf auf Datum, Uhrzeit oder Zeitzone. Tippen Sie auf „Weiter“. Ihr #PRS_ORG# wird alle verfügbaren Updates herunterl#PRS_ORG#n. Die Updates können bis zu 20 Minuten dauern. Tippen Sie auf die Anmeldeoption, die Sie verwenden möchten, und verwenden Sie die Tastatur auf dem Bildschirm, um Ihre Daten einzugeben. Wenn Sie bereits #PRS_ORG# Bücher haben, werden Sie sehen, dass sie zu Ihrem #PRS_ORG# hinzugefügt werden.","<speaker1>I am checking and that email is not registered in our system. Here are the steps to set it up via WiFI, Turn on your #PRS_ORG#. Tap your language. Tap Set up over Wi Fi. Your #PRS_ORG# will search for local Wi Fi networks, and show you a list of what’s available. Tap the network you want to connect to. If necessary, use the on-screen keyboard to enter the network password. Tap Join on your keyboard. If necessary, tap Date, Time, or Time Zone. Tap Continue. Your #PRS_ORG# will download any available updates. The updates may take up to 20 minutes to complete. Tap the sign-in option you wish to use, and use the on-screen keyboard to enter your details. If you already have #PRS_ORG# books, you’ll see them being added to your #PRS_ORG#.","<speaker2>passwort wird nicht anerkannt, wie zurücksetzen?","<speaker2>Password is not recognized, how to reset?",2,0,1,1,1,0,5
"<speaker2>passwort wird nicht anerkannt, wie zurücksetzen?","<speaker2>Password is not recognized, how to reset?",<speaker2>Welches Modell ist das?,<speaker2>What model is it?,2,0,1,1,1,1,4
<speaker1>Welches Modell ist das?,<speaker1>What model is it?,<speaker2>#PRS_ORG#,<speaker2>#PRS_ORG#,2,0,1,1,1,0,4
<speaker2>#PRS_ORG#,<speaker2>#PRS_ORG#,"<speaker2>Hier sind die Schritte: L#PRS_ORG#n Sie Ihren #PRS_ORG#r mindestens 1 Stunde lang auf. Stellen Sie sicher, dass Sie Zugriff auf eine Wi-Fi-Verbindung haben. Entfernen Sie bei eingeschaltetem #PRS_ORG# die Anschlussabdeckung an der Unterseite Ihres #PRS_ORG#. Hinweis: Wenn sich Ihr #PRS_ORG# nicht ausschalten lässt, halten Sie die Ein- / Aus-Taste gedrückt, bis auf dem Bildschirm die Meldung „Aus“ angezeigt wird. Führen Sie eine Büroklammer in das kleine Loch neben dem Micro-USB-Steckplatz ein und drücken Sie leicht darauf. Sie werden ein Klicken spüren und Ihr #PRS_ORG# wird sich selbst zurücksetzen. Der Bildschirm blinkt mehrmals schwarz. Warten Sie, bis der Startbildschirm angezeigt wird. Führen Sie eine Büroklammer in das kleine Loch neben dem Micro-USB-Steckplatz ein und drücken Sie leicht darauf. Wenn auf dem Bildschirm quadratische Symbole angezeigt werden, führen Sie eine Büroklammer in das kleine Loch neben dem Micro-USB-Steckplatz ein und drücken Sie leicht darauf. Wiederholen Sie Schritt 5 noch dreimal. Der Bildschirm Ihres #PRS_ORG# wird schwarz und zeigt eine kritische Fehlermeldung an. Keine Sorge, das ist normal. Tippen Sie auf das Häkchensymbol EPD-Checkmark _ auraglo.svg am unteren Bildschirmrand, um Ihren #PRS_ORG# zurückzusetzen. Auf dem Bildschirm wird die Meldung ""Wiederherstellen"" angezeigt.","<speaker2>Here are the steps, Charge your #PRS_ORG# for at least 1 hour. Make sure you have access to a Wi Fi connection. While your #PRS_ORG# is on, remove the port cover on the bottom of your #PRS_ORG#. Note: If your #PRS_ORG# doesn't turn off, try pressing and holding the power button until you see Powered off on your screen. Insert a paper clip into the small hole beside the Micro USB slot and push gently. You'll feel a click and your #PRS_ORG# will reset itself. The screen will flash black several times. Wait for the Home screen to appear. Insert a paper clip into the small hole beside the Micro USB slot and push gently. When you see square icons on the screen, insert a paper clip into the small hole beside the Micro USB slot and push gently. Repeat step 5 three more times. Your #PRS_ORG#'s screen will turn black, and show a Critical error message. Don't worry, this is normal. Tap the epd-checkmark_auraglo.svg check mark icon at the bottom of the screen to reset your #PRS_ORG#. You'll see a Restoring message on the screen.",2,0,1,1,1,1,5
"<speaker1>Hier sind die Schritte: L#PRS_ORG#n Sie Ihren #PRS_ORG#r mindestens 1 Stunde lang auf. Stellen Sie sicher, dass Sie Zugriff auf eine Wi-Fi-Verbindung haben. Entfernen Sie bei eingeschaltetem #PRS_ORG# die Anschlussabdeckung an der Unterseite Ihres #PRS_ORG#. Hinweis: Wenn sich Ihr #PRS_ORG# nicht ausschalten lässt, halten Sie die Ein- / Aus-Taste gedrückt, bis auf dem Bildschirm die Meldung „Aus“ angezeigt wird. Führen Sie eine Büroklammer in das kleine Loch neben dem Micro-USB-Steckplatz ein und drücken Sie leicht darauf. Sie werden ein Klicken spüren und Ihr #PRS_ORG# wird sich selbst zurücksetzen. Der Bildschirm blinkt mehrmals schwarz. Warten Sie, bis der Startbildschirm angezeigt wird. Führen Sie eine Büroklammer in das kleine Loch neben dem Micro-USB-Steckplatz ein und drücken Sie leicht darauf. Wenn auf dem Bildschirm quadratische Symbole angezeigt werden, führen Sie eine Büroklammer in das kleine Loch neben dem Micro-USB-Steckplatz ein und drücken Sie leicht darauf. Wiederholen Sie Schritt 5 noch dreimal. Der Bildschirm Ihres #PRS_ORG# wird schwarz und zeigt eine kritische Fehlermeldung an. Keine Sorge, das ist normal. Tippen Sie auf das Häkchensymbol EPD-Checkmark _ auraglo.svg am unteren Bildschirmrand, um Ihren #PRS_ORG# zurückzusetzen. Auf dem Bildschirm wird die Meldung ""Wiederherstellen"" angezeigt.","<speaker1>Here are the steps, Charge your #PRS_ORG# for at least 1 hour. Make sure you have access to a Wi Fi connection. While your #PRS_ORG# is on, remove the port cover on the bottom of your #PRS_ORG#. Note: If your #PRS_ORG# doesn't turn off, try pressing and holding the power button until you see Powered off on your screen. Insert a paper clip into the small hole beside the Micro USB slot and push gently. You'll feel a click and your #PRS_ORG# will reset itself. The screen will flash black several times. Wait for the Home screen to appear. Insert a paper clip into the small hole beside the Micro USB slot and push gently. When you see square icons on the screen, insert a paper clip into the small hole beside the Micro USB slot and push gently. Repeat step 5 three more times. Your #PRS_ORG#'s screen will turn black, and show a Critical error message. Don't worry, this is normal. Tap the epd-checkmark_auraglo.svg check mark icon at the bottom of the screen to reset your #PRS_ORG#. You'll see a Restoring message on the screen.","<speaker2>habe vorher alles gelöscht und zurückgesetzt, jetzt will ich neu einrichten über wlan","<speaker2>Have previously deleted and reset everything, now I want to reconfigure via wlan",2,0,1,1,1,0,4
"<speaker2>habe vorher alles gelöscht und zurückgesetzt, jetzt will ich neu einrichten über wlan","<speaker2>Have previously deleted and reset everything, now I want to reconfigure via wlan",<speaker2>Wie lange haben Sie den #PRS_ORG# schon gekauft?,<speaker2>How long ago did yo purchase the #PRS_ORG#?,2,0,1,1,1,1,3
"<speaker2>hallo, habe ein e-book gekauft und möchte das auf meinem #PRS_ORG# lesen. wie geht das? mfg #EMAIL# soeben gekauft, #PRS_ORG# Von: #NAME#","<speaker2>Hello Bought an e-book and would like to read it on my #PRS_ORG#. How does this work? Kind regards, #EMAIL# Just bought, #PRS_ORG# By: #NAME#","<speaker2>Danke für die Information. Ich helfe Ihnen gerne weiter. Sie möchten das Buch lesen, das Sie ger auf Ihrem #PRS_ORG# gekauft haben, richtig?","<speaker2>Thank you for the information. I will be more than happy to assist you. You want to read the book you just purchased on your #PRS_ORG#, correct?",2,0,1,1,1,1,5
"<speaker1>Danke für die Information. Ich helfe Ihnen gerne weiter. Sie möchten das Buch lesen, das Sie ger auf Ihrem #PRS_ORG# gekauft haben, richtig?","<speaker1>Thank you for the information. I will be more than happy to assist you. You want to read the book you just purchased on your #PRS_ORG#, correct?",<speaker2>nein ich habe das e book übers internet gekauft also auf meinem pc,<speaker2>No I bought the e book over the internet so on my pc,1,0,1,1,1,1,2
<speaker2>nein ich habe das e book übers internet gekauft also auf meinem pc,<speaker2>No I bought the e book over the internet so on my pc,"<speaker2>Oh! Sie möchten das Buch direkt auf Ihrem PC lesen, richtig?","<speaker2>Oh! You'd like to read the book directly on your PC, correct?",2,0,1,1,1,1,3
"<speaker1>Oh! Sie möchten das Buch direkt auf Ihrem PC lesen, richtig?","<speaker1>Oh! You'd like to read the book directly on your PC, correct?","<speaker2>nein, habe es auf dem pc gekauft aber möchte es auf dem #PRS_ORG# lesen","<speaker2>No, bought it on the pc but would like to read it on the #PRS_ORG#",2,0,1,1,1,1,2
"<speaker2>nein, habe es auf dem pc gekauft aber möchte es auf dem #PRS_ORG# lesen","<speaker2>No, bought it on the pc but would like to read it on the #PRS_ORG#","<speaker2>Alles klar, danke. Haben Sie Ihr Buch direkt bei #PRS_ORG# gekauft?","<speaker2>Alright, thank you. Did you purchase your book directly with #PRS_ORG#?",2,0,1,1,1,1,3
"<speaker1>Alles klar, danke. Haben Sie Ihr Buch direkt bei #PRS_ORG# gekauft?","<speaker1>Alright, thank you. Did you purchase your book directly with #PRS_ORG#?",<speaker2>ja,<speaker2>Yes.,2,0,1,1,1,1,4
<speaker2>ja,<speaker2>Yes.,"<speaker2>Ich danke Ihnen vielmals. Wir empfehlen, die Bücher mit #PRS_ORG# von Ihrem Computer auf Ihren #PRS_ORG# zu übertragen. Mit dieser Plattform können Sie Bücher übertragen, wenn sie DRM-geschützt sind, also den Urheberrecht-Schutz in jeder Datei. Ich werde Ihnen den Prozess erklären, um dies direkt in einen #PRS_ORG# Gerät zu tun.","<speaker2>Thank you so much. We recommend to transfer the books from your computer to your #PRS_ORG# using #PRS_ORG#, this platform allows you to transfer books when they are DRM protected, that is the copyright protection on each file. I am going to share with you the process to do it directly into a #PRS_ORG#,",2,0,1,1,1,1,4
"<speaker1>Ich danke Ihnen vielmals. Wir empfehlen, die Bücher mit #PRS_ORG# von Ihrem Computer auf Ihren #PRS_ORG# zu übertragen. Mit dieser Plattform können Sie Bücher übertragen, wenn sie DRM-geschützt sind, also den Urheberrecht-Schutz in jeder Datei. Ich werde Ihnen den Prozess erklären, um dies direkt in einen #PRS_ORG# Gerät zu tun.","<speaker1>Thank you so much. We recommend to transfer the books from your computer to your #PRS_ORG# using #PRS_ORG#, this platform allows you to transfer books when they are DRM protected, that is the copyright protection on each file. I am going to share with you the process to do it directly into a #PRS_ORG#,",<speaker2>okay danke werde das versuchen,<speaker2>Okay thank you will try that,2,0,1,1,1,1,5
<speaker2>okay danke werde das versuchen,<speaker2>Okay thank you will try that,"<speaker2>Sie können auch überprüfen, ob es auch für Ihren #PRS_ORG# funktioniert. Ich schicke es direkt an Ihre E-Mail, damit Sie es bei Gelegenheit nachlesen können. Passt das für Sie?",<speaker2>but you can check it and verify if it works for your #PRS_ORG# too. I'll send it directly to your email for you to check it when you have a chance. Is this suitable for you?,2,0,1,1,1,1,4
"<speaker1>Sie können auch überprüfen, ob es auch für Ihren #PRS_ORG# funktioniert. Ich schicke es direkt an Ihre E-Mail, damit Sie es bei Gelegenheit nachlesen können. Passt das für Sie?",<speaker1>but you can check it and verify if it works for your #PRS_ORG# too. I'll send it directly to your email for you to check it when you have a chance. Is this suitable for you?,<speaker2>danke,<speaker2>Thank you,2,0,1,1,1,1,5
<speaker2>danke,<speaker2>Thank you,"<speaker2>Es ist mir ein Vergnügen. Kann ich Ihnen sonst noch irgendwie weiterhelfen. Bitte lassen Sie uns wissen, wenn Sie weitere Unterstützung benötigen oder weitere Fragen haben. Leider muss ich aus Qualitätsgründen die Interaktion freigeben, wenn ich in den nächsten 2 Minuten keine Antwort erhalte. Leider habe ich nach 2 Minuten keine Antwort erhalten und muss diese Interaktion aus Qualitätsgründen freigeben. Wenn Sie weitere Fragen haben, kontaktieren Sie uns bitte erneut. Wir helfen Ihnen gerne weiter. Vielen Dank, dass Sie sich an #PRS_ORG# gewandt haben. Es war mir eine Freude, Ihnen heute behilflich zu sein. Ich hoffe Sie haben einen tollen Tag.","<speaker2>It's a pleasure for me! Is there anything else that I can help you with? Please let us know if you need further support or if you have any additional questions. Unfortunately, due to quality purposes, I will need to release the interaction if I don’t receive a response in the next 2 minutes. Sadly I have not received a response after 2 minutes and I will need to release this interaction due to quality purposes, if you have any other question, please contact us again, and we’ll be more than happy to continue assisting you. Thank you for contacting #PRS_ORG#, it was my pleasure to assist you today. I hope you have an excellent day.",2,0,1,1,1,1,5
