ctx_src,ctx_tgt,res_src,res_tgt,correctness,templated,engagement,understanding,sensibleness,politeness,iq
<speaker2>Preciso vincular a #PRS_ORG#  à minha conta. Como fazer? #EMAIL# 23/12/#NUMBER# Logística e Gerenciamento da Cadeia de Suprimentos,<speaker2>I need to link the #PRS_ORG# to my account. How to do it? #EMAIL# 23/12/#NUMBER# Logistics and Supply Chain Management,"<speaker2>Olá, #NAME#! Obrigado pela informação. Terei todo o prazer em ajudá-lo! Você pode fazê-lo na sua conta da #PRS_ORG#, deixe-me enviar-lhe os passos 1 Acesse #URL# 2 Clique em Fazer login na parte superior da tela. 3 Faça login na sua conta usando as suas credenciais do #PRS_ORG#. 4 Clique em ""Minha conta"" na parte superior da tela. 5 Clique em Configurações da Conta. 6 Opções de login 7 Procure a opção de login que você deseja para vincular e vincule-o.","<speaker2>Hello #NAME#! Thank you for the information. I will be more than happy to assist you. You can do it from your #PRS_ORG# account, let me send you the steps 1 Go to #URL#. 2 Click Sign In at the top of the screen. 3 Sign in to your account using your #PRS_ORG# credentials. 4 Click My Account at the top of the screen. 5 Click Account Settings. 6 Sign-In Options 7 Look for the Sign-in option you want to link and link it.",2,1,1,1,1,1,5
"<speaker1>Olá, #NAME#! Obrigado pela informação. Terei todo o prazer em ajudá-lo! Você pode fazê-lo na sua conta da #PRS_ORG#, deixe-me enviar-lhe os passos 1 Acesse #URL# 2 Clique em Fazer login na parte superior da tela. 3 Faça login na sua conta usando as suas credenciais do #PRS_ORG#. 4 Clique em ""Minha conta"" na parte superior da tela. 5 Clique em Configurações da Conta. 6 Opções de login 7 Procure a opção de login que você deseja para vincular e vincule-o.","<speaker1>Hello #NAME#! Thank you for the information. I will be more than happy to assist you. You can do it from your #PRS_ORG# account, let me send you the steps 1 Go to #URL#. 2 Click Sign In at the top of the screen. 3 Sign in to your account using your #PRS_ORG# credentials. 4 Click My Account at the top of the screen. 5 Click Account Settings. 6 Sign-In Options 7 Look for the Sign-in option you want to link and link it.","<speaker2>Quando eu clico em Minha conta, não aparece a opção Configurações de conta","<speaker2>When I click on My account, the Account Settings option does not appear",2,0,1,1,1,1,4
"<speaker2>Quando eu clico em Minha conta, não aparece a opção Configurações de conta","<speaker2>When I click on My account, the Account Settings option does not appear",<speaker2>Que opções você vê?,<speaker2>What options do you see?,2,0,1,1,1,1,4
<speaker1>Que opções você vê?,<speaker1>What options do you see?,<speaker2>Sumiu a página. Agora quando eu digito #URL# entra direto em #PRS_ORG# #PRS_ORG#,<speaker2>Disappeared the page. Now when I type #URL# goes straight into #PRS_ORG# #PRS_ORG#,2,0,1,1,1,1,4
<speaker2>Sumiu a página. Agora quando eu digito #URL# entra direto em #PRS_ORG# #PRS_ORG#,<speaker2>Disappeared the page. Now when I type #URL# goes straight into #PRS_ORG# #PRS_ORG#,"<speaker2>Sim, somos #PRS_ORG#","<speaker2>Yes, we are #PRS_ORG#",2,0,1,1,1,1,5
"<speaker1>Sim, somos #PRS_ORG#","<speaker1>Yes, we are #PRS_ORG#",<speaker2>No canto esquerdo tem Entrar e não minha conta,<speaker2>In the left corner has Sign in and not my account,2,0,1,1,1,1,4
<speaker2>No canto esquerdo tem Entrar e não minha conta,<speaker2>In the left corner has Sign in and not my account,"<speaker2>Por favor, faça login em sua conta",<speaker2>Please sign in to your account,2,0,0,1,1,1,4
"<speaker1>Por favor, faça login em sua conta",<speaker1>Please sign in to your account,<speaker2>Vem a informação: Não encontramos uma conta com esse endereço......Verifique se você digitou corretamente,<speaker2>Here's the information: We don't find an account with this address......,2,0,1,1,1,1,3
<speaker2>Vem a informação: Não encontramos uma conta com esse endereço......Verifique se você digitou corretamente,<speaker2>Here's the information: We don't find an account with this address......,<speaker2>Você pode me dizer qual opção de login você está usando?,<speaker2>Can you please tell me what login option are you using?,2,0,1,1,1,1,4
<speaker1>Você pode me dizer qual opção de login você está usando?,<speaker1>Can you please tell me what login option are you using?,<speaker2>Como assim?,<speaker2>How so?,2,0,1,1,1,1,3
